0 0 0 ..I...BBI.K.GHAAKLGHDDKLG..JEEFF.J..
1 1 0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEEFF.J.. K99 
1 1 0 ..I..LBBI.KLGHAAK.GHDDK.G..JEEFF.J.. K99 L98 
1 1 0 ..I...BBI.K.GHAAKLGHDDKLG..JEE.FFJ.. K99 L98 F99 
1 1 0 ..I...BBI.K.G.AAKLGHDDKLGH.JEEFF.J.. K99 L98 F99 H99 
1 1 0 ..I...BBI.KLGHAAKLGHDDK.G..JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I.K.BBI.KLGHAAKLGHDD..G..JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I...BBI.KLG.AAKLGHDDK.GH.JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I...BBI.K.G.AAKLGHDDKLGH.JEE.FFJ.. K99 L99 F99 H99 
2 2 0 ..I...BBI.K..HAAKLGHDDKLG..JEEGFFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEE.FFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I...BBI.KLGHAAKLGHDDK.G..JEE.FFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I.K.BBI.K.GHAAKLGH.DDLG..JEEFF.J.. K99 L99 F99 H99 G99 D99 
2 2 0 ..I...BBI.K.GAA.KLGHDDKLGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I.KLBBI.KLGHAAK.GHDD..G..JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
2 2 0 ..I..LBBI.KLGHAAK.GHDDK.G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGH..DDG..JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I..LBBI.KL.HAAK.GHDDK.G..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.K..HAAKLGHDD.LG..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I...BBI.K...AAKLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I...BBI.K.GAA.KLGHDDKLGH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.K.GHAAKLGH.DDLG..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLG.AAKLGHDD..GH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GHDD..G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KLGAA.KLGHDDK.GH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.GAA.KLGHDD.LGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GH.DD.G..JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I..LBBI.KLGAA.K.GHDDK.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KL.HAAKLGHDDK.G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KLG.AAKLGHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GH..DDG..JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGH.DD.G..JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLG.AAK.GHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGHDD..G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I.K.BBI.KLGHAAKLGH..DDG..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I...BBI.KL..AAKLGHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEEFF.... K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GH.DD.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLGAA.K.GHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GH..DDGH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGH..DDGH.JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEEFF.... K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I..LBBI.KLGAA.K.GHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I...BBI.K..AA.KLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.K.BBI.KL.HAAKLGHDD..G..JEEGFFJ.. K99 L99 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.K.BBI.K...AAKLGHDD.LGH.JEEGFFJ.. K99 L99 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH.DD.G..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K..HAAKLGH.DDLG..JEEGFFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGHDD..GH.JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.GAA.KLGH.DDLGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KL.HAAK.GHDD..G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.GAA.KLGHDD.LGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I...BBI.K.AA..KLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GHDD..GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I..LBBI.KL..AAK.GHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGH.DD.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLGAA.KLGHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I...BBI.KLGAA.KLGHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLGHAAKLGH.DD.G..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH..DDG..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A98 J99 
5 5 0 ..I..LBBI.KLAA..K.GHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
9 9 0 ..I.K.BBIJKLGAAJKLGHDD..GHEE.....FF. K97 L99 F96 H98 G99 D96 A98 J98 I98 E98 B99 
9 9 0 ..I...BBI.KLG.AAKLGHDDK.GH.JEE...JFF K98 L99 F96 H98 G99 D96 A98 J98 I98 E98 B99 
9 9 0 ..I.K.BBIJKLGAAJKLG.DD..GH..EE.H..FF K98 L99 F96 H98 G99 D96 A98 J98 I98 E98 B99 
9 9 0 ..I.KLBBI.KL.AAJK.GH.JDDGH.EE.G.FF.. K98 L99 F96 H98 G99 D96 A98 J98 I98 E99 B99 
9 9 0 ..IJKLBBIJKL.AA.K.GH.DD.GH..EEGFF... K98 L99 F96 H98 G99 D97 A98 J98 I98 E99 B99 
9 9 0 ..IJKLBBIJKLG.AAK.G...DDGH..EE.H..FF K98 L99 F96 H98 G99 D97 A98 J98 I98 E99 B99 
9 9 0 ....K.BB..KLAA..KLG.IJDDGHIJEEGHFF.. K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJKL.AA.KLGHDD..GH..EEG...FF K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJKLAA..KLGHDD..GH..EEGFF... K98 L99 F96 H98 G99 D96 A98 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJKL.AAJKLGH.DD.GH..EEG.FF.. K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..IJ..BBIJKLGAA.KLGHDDK.GH..EE.FF... K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJKL.AAJKLGHDD..GH..EEGFF... K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..IJKLBBIJKLGAA.K.GH.DD.GH.EE..FF... K98 L99 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJK.GAA.KLGH.DDLGH..EE.FF... K98 L98 F96 H98 G99 D97 A98 J98 I97 E99 B99 
9 9 0 ..I.K.BBI.KL.AAJKLGH.JDDGHEE..GFF... K98 L98 F96 H98 G99 D97 A98 J98 I97 E98 B99 
9 9 0 ..IJK.BBIJKLG.AAKLGH..DDGHEE.....FF. K98 L98 F97 H98 G99 D97 A98 J98 I97 E98 B99 
9 9 0 ..I.KLBBI.KLAA.JK.G..JDDGH..EEGHFF.. K98 L98 F97 H98 G99 D97 A98 J98 I97 E98 B99 
9 9 0 ..I..LBBIJKLGAAJK.GHDDK.GH..EE.FF... K98 L98 F97 H98 G99 D97 A98 J98 I97 E98 B99 
9 9 0 ..I.K.BBI.KL.AAJKLGH.JDDGHEE..G..FF. K98 L98 F97 H98 G99 D97 A98 J98 I97 E98 B99 
9 9 0 ....K.BB..KLAAI.KLG.IJDDGH.JEEGHFF.. K98 L98 F97 H98 G99 D97 A98 J98 I98 E98 B99 
9 9 0 ..I.K.BBIJKLGAAJKLGDD...GH..EE.H..FF K98 L98 F97 H98 G99 D95 A98 J98 I98 E98 B99 
9 9 0 ....K.BB..KL.AA.KLGHIDD.GHIJEEGFFJ.. K98 L99 F97 H98 G99 D95 A98 J98 I98 E98 B99 
9 9 0 ....KLBBI.KLAAI.K.G..JDDGH.JEEGH..FF K98 L99 F97 H98 G99 D95 A98 J98 I99 E98 B99 
9 9 0 ....KL..BBKLAAI.K.GHIDD.GH.JEEGFFJ.. K98 L98 F97 H98 G99 D95 A98 J98 I99 E98 B99 
9 9 0 ..I.KLBBI.KLGAA.K.G..DD.GH.JEE.H.JFF K98 L98 F97 H98 G99 D95 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKLGAAJK.GHDD..GH.EE.....FF K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..IJKLBBIJKL..AAK.GH..DDGH..EEG...FF K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKL.AAJK.GH..DDGH.EE.G...FF K98 L98 F97 H98 G99 D96 A99 J98 I99 E99 B99 
9 9 0 ..I.K.BBIJKLGAAJKLGH.DD.GH.EE....FF. K98 L98 F97 H98 G99 D96 A99 J98 I99 E99 B99 
9 9 0 ..I.KLBBI.KLAA.JK.G..JDDGH..EEGH.FF. K98 L98 F97 H98 G99 D96 A99 J98 I99 E99 B99 
9 9 0 ..IJK.BBIJKLGAA.KLG...DDGHEE...H..FF K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ....KLBB..KLAA..K.GH.JDDGHIJEEG.IFF. K98 L98 F97 H98 G99 D96 A99 J98 I96 E98 B99 
9 9 0 ....KLBB..KLAA..K.G.IJDDGHIJEEGH.FF. K98 L98 F97 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ..I.KLBBI.KL.AAJK.GH.JDDGHEE..G...FF K98 L98 F97 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ....KLBB..KLAAI.K.G.IJDDGH.JEEGH.FF. K98 L98 F97 H98 G99 D96 A99 J98 I98 E98 B99 
9 9 0 ..I.K.BBI.KL.AAJKLGH.JDDGH.EE.G.FF.. K98 L98 F97 H98 G99 D96 A99 J98 I98 E98 B99 
9 9 0 ....KLBBI.KLAAI.K.G..JDDGH.JEEGH.FF. K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBIJKLGAAJKLGH.DD.GHEE...FF... K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..IJKLBBIJKL.AA.K.GH..DDGHEE..GFF... K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..IJK.BBIJKLAA..KLGH..DDGHEE..GFF... K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBI.KLAA.JK.GH.JDDGH..EEG...FF K98 L98 F97 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBI.KLAA.JKLGH.JDDGH..EEG..FF. K98 L98 F97 H98 G99 D96 A98 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKLGAAJK.GH.DD.GH.EE...FF.. K98 L98 F98 H98 G99 D96 A98 J98 I99 E98 B99 
9 9 0 ..I.K.BBIJKLGAAJKLGHDD..GH.EE..FF... K98 L98 F99 H98 G99 D96 A98 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKLGAAJK.G..DD.GH..EE.H..FF K98 L98 F99 H98 G99 D97 A98 J98 I99 E98 B99 
9 9 0 ..I.KLBBI.KL.AAJK.GH.JDDGH.EE.GFF... K98 L98 F99 H98 G99 D97 A98 J98 I99 E99 B99 
9 9 0 ..IJKLBBIJKLAA..K.G...DDGH..EEGH..FF K98 L98 F99 H98 G99 D97 A98 J96 I99 E99 B99 
9 9 0 ..IJK.BBIJKLGAA.KLGHDD..GHEE.....FF. K98 L98 F97 H98 G99 D97 A98 J96 I99 E99 B99 
9 9 0 ..IJK.BBIJKLG.AAKLG...DDGH..EE.H.FF. K98 L98 F97 H98 G99 D97 A98 J96 I99 E99 B99 
9 9 0 ..I.KLBBI.KLGAA.K.GHDD..GH.JEE...JFF K98 L98 F97 H98 G99 D96 A98 J96 I99 E99 B99 
9 9 0 ..IJ.LBBIJ.LGAA...GHDDK.GHEEK.FF..K. K96 L98 F97 H98 G99 D96 A98 J96 I99 E99 B99 
9 9 0 ..I.KLBBIJKLAA.JK.GH..DDGH..EEG...FF K96 L98 F97 H98 G99 D96 A98 J96 I99 E99 B99 
9 9 0 ..I.K.BBI.KLGAAJKLG..JDDGH.EE..H..FF K96 L98 F97 H98 G99 D96 A98 J96 I99 E99 B99 
9 9 0 ..I.K.BBI.KLGAA.KLGDD...GH.JEE.H.JFF K96 L98 F97 H98 G99 D95 A98 J96 I99 E99 B99 
9 9 0 ..I.KLBBI.KL.AAJK.G..JDDGH..EEGHFF.. K96 L98 F97 H98 G99 D95 A98 J98 I99 E99 B99 
9 9 0 ..I.K.BBI.KL.AAJKLGH.JDDGHEE..G...FF K96 L98 F97 H98 G99 D95 A98 J98 I99 E99 B99 
9 9 0 ..I.K.BBIJKL.AAJKLGH..DDGHEE..GFF... K96 L98 F97 H98 G99 D95 A98 J98 I99 E98 B99 
9 9 0 ..I.K.BBIJKLAA.JKLG...DDGH..EEGH..FF K96 L98 F97 H98 G99 D95 A98 J97 I99 E98 B99 
9 9 0 ..I.K.BBI.KLGAAJKLG..JDDGHEE...H.FF. K96 L98 F97 H98 G99 D95 A98 J97 I99 E98 B99 
9 9 0 ..IJK.BBIJKL.AA.KLGH.DD.GH..EEG...FF K96 L98 F97 H98 G99 D97 A98 J97 I99 E98 B99 
9 9 0 ..I.K.BBIJK.GAAJKLGH.DDLGH..EE....FF K96 L96 F97 H98 G99 D97 A98 J97 I99 E98 B99 
9 9 0 ..I.K.BBI.KLGAAJKLG..JDDGHEE...HFF.. K96 L96 F97 H98 G99 D97 A98 J97 I99 E98 B99 
9 9 0 ..I.K.BBIJKLGAAJKLGHDD..GH.EE.....FF K96 L96 F97 H98 G99 D97 A98 J97 I99 E99 B99 
9 9 0 ....K.BB..KLAA..KLGHIJDDGHIJEEGFF... K96 L96 F97 H98 G99 D97 A98 J97 I97 E99 B99 
9 9 0 ..IJK.BBIJKLGAA.KLGH.DD.GHEE......FF K96 L96 F97 H98 G99 D97 A98 J97 I97 E99 B99 
9 9 0 ..IJK.BBIJKLAA..KLG...DDGH..EEGH.FF. K96 L96 F97 H98 G99 D97 A98 J96 I97 E99 B99 
9 9 0 ..I.KLBBI.KL.AA.K.G...DDGH.JEEGH.JFF K96 L96 F97 H98 G99 D97 A99 J96 I97 E99 B99 
9 9 0 ..IJKLBBIJKLGAA.K.GH.DD.GH.EE.....FF K96 L96 F96 H98 G99 D97 A99 J96 I97 E99 B99 
9 9 0 ..IJKLBBIJKLGAA.K.GHDD..GHEE...FF... K96 L96 F96 H98 G99 D96 A99 J96 I97 E99 B99 
9 9 0 ..I.KLBBIJKLAA.JK.G...DDGH..EEGH.FF. K96 L96 F96 H98 G99 D96 A99 J97 I97 E99 B99 
9 9 0 ..I.K.BBI.KLGAA.KLGH.DD.GH.JEE...JFF K96 L96 F96 H98 G99 D96 A99 J97 I97 E99 B99 
9 9 0 ....KL.BB.KLAA..K.GHIDD.GHIJEEGFFJ.. K96 L96 F96 H98 G99 D96 A99 J97 I97 E99 B99 
9 9 0 ..I.K.BBI.KLAA..KLGH..DDGH.JEEG..JFF K96 L96 F96 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..I.KLBBI.KL..AAK.G..DD.GH.JEEGH.JFF K96 L96 F96 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJKLBBIJKLAA..K.GH..DDGH..EEG.FF.. K96 L96 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJK.GAAJK.GHDD..GH.EELFF...L K96 L96 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJ..BBIJKLG.AAKLGHDDK.GH..EEFF.... K98 L96 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJKLG.AAKLGHDD..GH..EE..FF.. K98 L96 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJK.GAAJK.GH.DD.GHEE.LFF...L K98 L94 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJKLBBIJKL.AA.K.GH..DDGH.EE.GFF... K98 L94 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJKL.AA.KLGH..DDGH.EE.G...FF K98 L94 F98 H98 G99 D96 A99 J98 I97 E99 B99 
9 9 0 ..IJK.BBIJKLGAA.KLGDD...GH..EE.H.FF. K98 L94 F98 H98 G99 D95 A99 J98 I97 E99 B99 
9 9 0 ..I...BBI.KLG.AAKLG.DDK.GH.JEE.H.JFF K98 L94 F98 H98 G99 D95 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJKLGAAJKLG..DD.GH..EE.H.FF. K98 L94 F98 H98 G99 D97 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJK.GAAJKLGH.DDLGH..EE...FF. K98 L98 F98 H98 G99 D97 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJKL.AAJKLGH.DD.GH..EEGFF... K98 L98 F98 H98 G99 D97 A99 J98 I97 E99 B99 
9 9 0 ..I.KLBBIJKLGAAJK.GH.DD.GH.EE..FF... K98 L98 F98 H98 G99 D97 A99 J98 I97 E99 B99 
9 9 0 ..IJKLBBIJKL.AA.K.GHDD..GH..EEGFF... K98 L98 F98 H98 G99 D97 A99 J98 I97 E99 B99 
9 9 0 ..I.K.BBIJKLGAAJKLG...DDGHEE...H..FF K98 L98 F98 H98 G99 D97 A99 J98 I97 E98 B99 
9 9 0 ..I.KLBBI.KL..AAK.GHDD..GH.JEEG..JFF K98 L98 F98 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ....KL.BB.KLAAI.K.GHI.DDGH.JEEGFFJ.. K98 L98 F98 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ..I.K.BBIJKLAA.JKLGH..DDGH..EEG..FF. K98 L98 F97 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ..IJK.BBIJK.GAA.KLGHDD.LGH..EE....FF K98 L98 F96 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ..IJKLBBIJKLGAA.K.G...DDGHEE...HFF.. K98 L98 F96 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ..IJK.BBIJK.GAA.K.GHDD.LGHEE.LFF.... K98 L97 F96 H98 G99 D96 A99 J98 I97 E98 B99 
9 9 0 ....KLBBI.KLAAI.K.GH.JDDGH.JEEGFF... K98 L97 F96 H98 G99 D96 A99 J98 I99 E98 B99 
9 9 0 ..IJKLBBIJKLGAA.K.GH.DD.GHEE....FF.. K98 L97 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBI.K.G.AAKLGDD..LGH.JEE.H.JFF K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBI.KL.AAJK.GH.JDDGHEE..G.FF.. K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKL.AAJK.GH..DDGHEE..G.FF.. K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..IJK.BBIJKL..AAKLGH..DDGH..EEG..FF. K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKLGAAJK.GHDD..GHEE....FF.. K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I..LBBIJKLGAAJK.GHDDK.GH..EE....FF K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBIJK.GAAJK.GH.DDLGH.EELFF.... K98 L95 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEE...JFF K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKL.AAJK.GHDD..GH..EEG...FF K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..IJKLBBIJKLGAA.K.G...DDGH.EE..H..FF K98 L96 F96 H98 G99 D97 A99 J98 I99 E99 B99 
9 9 0 ..IJK.BBIJKLGAA.KLGH.DD.GH.EE....FF. K98 L96 F96 H98 G99 D97 A99 J98 I99 E99 B99 
9 9 0 ..IJK.BBIJKLGHAAKLGH..DDG...EE...FF. K98 L96 F96 H98 G99 D97 A99 J98 I99 E99 B99 
9 9 0 ..IJKLBBIJKL.AA.K.GH..DDGHEE..G...FF K98 L96 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ....K...BBKLAA..KLGHIDD.GHIJEEGFFJ.. K98 L99 F96 H98 G99 D97 A99 J98 I99 E98 B99 
9 9 0 ..I.K.BBI.KLAA.JKLGH.JDDGH..EEG.FF.. K98 L99 F96 H98 G99 D97 A98 J98 I99 E98 B99 
9 9 0 ..IJK.BBIJKLGHAAKLGH..DDG...EE....FF K98 L99 F96 H98 G99 D97 A98 J98 I99 E98 B99 
9 9 0 ..I...BBI.K.GHAAKLGHDDKLG..JEE...JFF K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B99 
9 9 0 ..I.KLBBIJKL.AAJK.G...DDGH..EEGH..FF K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B99 
9 9 0 ....K...BBKLAAI.KLGHI.DDGH.JEEGFFJ.. K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..IJKLBBIJKLGAA.K.G..DD.GH..EE.H.FF. K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..I.KLBBI.KLAA.JK.GH.JDDGHEE..GFF... K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..IJK.BBIJKLG.AAKLGHDD..GH..EE....FF K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..IJK.BBIJKLGHAAKLGH..DDG...EE..FF.. K98 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..I...BBIJ.LGAAJ.LGHDDK.GHEEK.FF..K. K96 L98 F96 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..IJK.BBIJKLGAA.KLGHDD..GH.EE..FF... K96 L98 F99 H98 G99 D97 A98 J98 I99 E98 B98 
9 9 0 ..I.K.BBIJKL.AAJKLGH..DDGH.EE.G...FF K96 L98 F99 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..I.K.BBIJKLGAAJKLG...DDGHEE...HFF.. K96 L98 F99 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..IJK.BBIJKL.AA.KLGH..DDGHEE..G.FF.. K96 L98 F99 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..I.KLBBIJKLGAAJK.GH.DD.GHEE.....FF. K96 L98 F97 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..IJK.BBIJKLGAA.KLG...DDGH.EE..HFF.. K96 L98 F97 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..IJK.BBIJKLGAA.KLGHDD..GHEE....FF.. K96 L98 F98 H98 G99 D97 A98 J98 I99 E99 B98 
9 9 0 ..I.KLBBIJKL.AAJK.GHDD..GH..EEG..FF. K96 L98 F98 H98 G99 D96 A98 J98 I99 E99 B98 
9 9 0 ....K.BB..K.G.AAKLGHIDDLGHIJEE.FFJ.. K96 L98 F98 H98 G98 D96 A98 J98 I99 E99 B98 
9 9 0 ....K...BBK...AAKLGHIDDLGHIJEEGFFJ.. K96 L98 F98 H98 G98 D96 A98 J98 I99 E99 B98 
9 9 0 ..I...BBI.KL.HAAKLGHDDK.G..JEEG..JFF K96 L98 F98 H98 G99 D96 A98 J98 I99 E99 B98 
9 9 0 ..IJK.BBIJKL.AA.KLG...DDGH..EEGH.FF. K96 L98 F98 H98 G99 D96 A98 J96 I99 E99 B98 
9 9 0 ..I.K.BBI.KL.AAJKLG..JDDGH..EEGH..FF K96 L98 F98 H98 G99 D96 A98 J98 I99 E99 B98 
9 9 0 ....K..BB.K..AA.KLGHIDDLGHIJEEGFFJ.. K96 L98 F98 H98 G99 D96 A98 J98 I99 E99 B99 
